nb_shards,nb_requests,accuracy,retraining_time
5,0,0.9725218284540318,227.49038577079773
5,1,0.9725539291217258,45.80695962905884
5,2,0.9728267847971238,92.50192832946777
5,3,0.9725699794555727,94.76608920097351
5,4,0.9727465331278891,140.65119290351868
5,5,0.9723613251155624,94.48339176177979
5,6,0.9722489727786338,198.5695948600769
5,7,0.9723131741140215,93.24370956420898
5,8,0.9727144324601952,246.65347576141357
5,9,0.9726662814586543,203.2640233039856
5,10,0.972473677452491,189.82509636878967
5,11,0.9725539291217258,233.42474222183228
5,12,0.9728588854648177,236.89772987365723
5,13,0.9731798921417566,189.28637504577637
5,14,0.973067539804828,253.08848071098328
5,15,0.9722168721109399,248.61658835411072
